Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
5;EGRESOS DE PERSONAL CORRIENTE;GASTOS CORRIENTES;1.479.588,24;-7000;1.472.588,24;1.291.657,26;1.283.754,60;1.241.949,38;1.202.653,29;7.902,66;41.805,22;269934,95;84,34
51;EGRESOS DE PERSONAL CORRIENTE;GASTOS EN PERSONAL;1.273.525,23;-1453,59;1.272.071,64;1.143.534,23;1.143.197,00;1.108.778,52;1.071.049,64;337,23;34.418,48;201022;87,16
51.01;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Basicas;864.528,00;0;864.528,00;814.040,40;814.040,40;785.119,47;765.679,32;0;28.920,93;98848,68;90,81
51.01.05;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Unificadas;568.968,00;0;568.968,00;545.214,17;545.214,17;516.293,24;505.198,07;0;28.920,93;63769,93;90,74
51.01.06;EGRESOS DE PERSONAL CORRIENTE;Salarios Unificados;295.560,00;0;295.560,00;268.826,23;268.826,23;268.826,23;260.481,25;0;0;35078,75;90,95
51.02;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Complementarias;109.094,00;5630;114.724,00;106.030,45;106.030,45;104.855,68;97.350,96;0;1.174,77;17373,04;91,4
51.02.03;EGRESOS DE PERSONAL CORRIENTE;Decimo Tercer Sueldo;72.044,00;0;72.044,00;66.375,31;66.375,31;65.458,63;64.724,27;0;916,68;7319,73;90,86
51.02.04;EGRESOS DE PERSONAL CORRIENTE;Decimo Cuarto Sueldo;37.050,00;5630;42.680,00;39.655,14;39.655,14;39.397,05;32.626,69;0;258,09;10053,31;92,31
51.03;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Compensatorias;56.456,40;-1453,59;55.002,81;21.884,13;21.884,13;21.884,13;21.872,03;0;0;33130,78;39,79
51.03.04;EGRESOS DE PERSONAL CORRIENTE;Compensacion por Transporte;3.260,40;0;3.260,40;2.003,50;2.003,50;2.003,50;1.999,50;0;0;1260,9;61,45
51.03.06;EGRESOS DE PERSONAL CORRIENTE;Alimentacion;53.196,00;-1453,59;51.742,41;19.880,63;19.880,63;19.880,63;19.872,53;0;0;31869,88;38,42
51.04;EGRESOS DE PERSONAL CORRIENTE;Subsidios;5.056,09;0;5.056,09;2.422,24;2.422,24;2.422,24;2.418,28;0;0;2637,81;47,91
51.04.01;EGRESOS DE PERSONAL CORRIENTE;Por Cargas Familiares;1.151,28;0;1.151,28;415,84;415,84;415,84;414,92;0;0;736,36;36,12
51.04.08;EGRESOS DE PERSONAL CORRIENTE;Subsidio de Antiguedad;3.904,81;0;3.904,81;2.006,40;2.006,40;2.006,40;2.003,36;0;0;1901,45;51,38
51.05;EGRESOS DE PERSONAL CORRIENTE;Remuneraciones Temporales;11.080,00;-4110;6.970,00;4.320,93;3.983,70;3.983,70;2.333,70;337,23;0;4636,3;57,15
51.05.12;EGRESOS DE PERSONAL CORRIENTE;Subrogacion;11.080,00;-4110;6.970,00;4.320,93;3.983,70;3.983,70;2.333,70;337,23;0;4636,3;57,15
51.06;EGRESOS DE PERSONAL CORRIENTE;Aportes Patronales a la Seguridad Social;174.210,74;-1520;172.690,74;144.637,33;144.637,33;140.314,55;131.196,60;0;4.322,78;41494,14;81,25
51.06.01;EGRESOS DE PERSONAL CORRIENTE;Aporte Patronal;102.195,45;-1110;101.085,45;94.226,64;94.226,64;91.435,75;82.950,57;0;2.790,89;18134,88;90,45
51.06.02;EGRESOS DE PERSONAL CORRIENTE;Fondo de Reserva;72.015,29;-410;71.605,29;50.410,69;50.410,69;48.878,80;48.246,03;0;1.531,89;23359,26;68,26
51.07;EGRESOS DE PERSONAL CORRIENTE;Indemnizaciones;53.100,00;0;53.100,00;50.198,75;50.198,75;50.198,75;50.198,75;0;0;2901,25;94,54
51.07.06;EGRESOS DE PERSONAL CORRIENTE;Beneficio por Jubilación;53.100,00;0;53.100,00;50.198,75;50.198,75;50.198,75;50.198,75;0;0;2901,25;94,54
53;BIENES Y SERVICIOS CORRIENTES;BIENES Y SERVICIOS DE CONSUMO;65.918,49;-5546,41;60.372,08;33.681,71;26.116,28;25.529,18;23.961,97;7.565,43;587,1;36410,11;42,29
53.02;BIENES Y SERVICIOS CORRIENTES;Servicios Generales;6.418,88;3257,8;9.676,68;9.676,68;6.176,50;6.176,50;6.176,50;3.500,18;0;3500,18;63,83
53.02.08;BIENES Y SERVICIOS CORRIENTES;Servicio de Seguridad y Vigilancia;2.127,88;3489,62;5.617,50;5.617,50;2.117,50;2.117,50;2.117,50;3.500,00;0;3500;37,69
53.02.55;BIENES Y SERVICIOS CORRIENTES;Combustibles;4.291,00;-231,82;4.059,18;4.059,18;4.059,00;4.059,00;4.059,00;0,18;0;0,18;100
53.03;BIENES Y SERVICIOS CORRIENTES;Traslados Instalaciones Viaticos y Subsistencias;20.000,00;0;20.000,00;4.047,67;4.047,67;3.460,57;2.059,26;0;587,1;17940,74;17,3
53.03.03;BIENES Y SERVICIOS CORRIENTES;Pasajes al Exterior;10.000,00;0;10.000,00;3.460,57;3.460,57;3.460,57;2.059,26;0;0;7940,74;34,61
53.03.04;BIENES Y SERVICIOS CORRIENTES;Viaticos y Subsistencias en el Exterior;10.000,00;0;10.000,00;587,1;587,1;0;0;0;587,1;10000;0
53.06;BIENES Y SERVICIOS CORRIENTES;Contratacion de Estudios Investigaciones y Servicios Tecnicos Especializados;18.076,45;-7000;11.076,45;2.929,72;1.266,66;1.266,66;1.266,66;1.663,06;0;9809,79;11,44
53.06.06;BIENES Y SERVICIOS CORRIENTES;Honorarios por Contratos Civiles de Servicios;10.000,00;0;10.000,00;2.929,72;1.266,66;1.266,66;1.266,66;1.663,06;0;8733,34;12,67
53.06.12;BIENES Y SERVICIOS CORRIENTES;Capacitacion a Servidores Publicos;8.076,45;-7000;1.076,45;0;0;0;0;0;0;1076,45;0
53.07;BIENES Y SERVICIOS CORRIENTES;Egresos en Informatica;300;0;300;0;0;0;0;0;0;300;0
53.07.04;BIENES Y SERVICIOS CORRIENTES;Mantenimiento y Reparacion de Equipos y Sistemas Informaticos;300;0;300;0;0;0;0;0;0;300;0
