Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución;;;;;
7.8;TRANSFERENCIAS PARA INVERSION;Trannsferencias para la inversion; 61,004.00 ; 114,748.65 ; 175,752.65 ; 173,145.52 ; 173,145.52 ; 119,543.07 ; 119,543.07 ; 2,607.13 ; 56,209.58 ; -   ; 98.52 ;;;;;
8.4;BIENES DE LARGA  DURACION;Bienes de larga duracion; 246,300.00 ; -9,941.00 ; 236,359.00 ; 67,330.49 ; 67,330.49 ; 50,914.29 ; 50,914.29 ; 169,028.51 ; 185,444.71 ; -   ; 28.49 ;;;;;
5.6;GASTOS FINANCIEROS;Gastos Financieros; 161,175.81 ; 21,620.31 ; 182,796.12 ; 168,838.08 ; 168,838.08 ; 168,838.08 ; 168,838.08 ; 13,958.04 ; 13,958.04 ; -   ; 92.36 ;;;;;
5.8;TRANSFERENCIAS Y DONACIONES CORRIENTES;Transferencias Y Donaciones Corrientes; 40,000.00 ; 53,236.41 ; 93,236.41 ; 72,770.35 ; 72,770.35 ; 63,750.00 ; 63,750.00 ; 20,466.06 ; 29,486.41 ; -   ; 78.05 ;;;;;
7.8;TRANSFERENCIAS Y DONACIONES INVERSION;Transferencias Y Donaciones Inversion; 100,000.00 ; -25,361.93 ; 74,638.07 ; 69,273.75 ; 69,273.75 ; 63,940.39 ; 63,940.39 ; 5,364.32 ; 10,697.68 ; -   ; 92.81 ;;;;;
9.6;AMORTIZACION DEUDA PUBLICA;Amortizacion Deuda Publica; 113,606.62 ; 24,454.00 ; 138,060.62 ; 118,002.99 ; 118,002.99 ; 118,002.99 ; 118,002.99 ; 20,057.63 ; 20,057.63 ; -   ; 85.47 ;;;;;
9.7;PASIVO CIRCULANTE;Pasivo Circulante; 5,211.33 ; 305,528.71 ; 310,740.04 ; 101,215.50 ; 101,215.50 ; 101,215.50 ; 101,215.50 ; 209,524.54 ; 209,524.54 ; -   ; 32.57 ;;;;;
9.8;OBLIGACIONES ;Obligaciones; 100.00 ;; 100.00 ;; -   ;;; 100.00 ; 100.00 ; -   ; -   ;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
